Lower layer Super Output Areas Code,Lower layer Super Output Areas,Observation
E01000396,Bexley 018C,506
E01000398,Bexley 029A,609
E01000399,Bexley 029B,622
E01000400,Bexley 029C,591
E01000401,Bexley 013A,691
E01000402,Bexley 005B,652
E01000403,Bexley 004A,1060
E01000404,Bexley 004B,990
E01000405,Bexley 004C,564
E01000406,Bexley 005C,788
E01000407,Bexley 005D,757
E01000408,Bexley 004D,582
E01000409,Bexley 016C,654
E01000410,Bexley 018D,598
E01000411,Bexley 016D,553
E01000412,Bexley 018E,643
E01000413,Bexley 018F,524
E01000414,Bexley 016E,728
E01000415,Bexley 016F,517
E01000416,Bexley 002A,510
E01000417,Bexley 006B,704
E01000418,Bexley 002B,727
E01000419,Bexley 006C,583
E01000420,Bexley 006D,590
E01000421,Bexley 009D,598
E01000422,Bexley 002C,501
E01000423,Bexley 025C,606
E01000424,Bexley 026A,749
E01000425,Bexley 025D,607
E01000426,Bexley 026B,707
E01000427,Bexley 026C,908
E01000428,Bexley 027D,908
E01000429,Bexley 008B,710
E01000430,Bexley 008C,706
E01000431,Bexley 008D,431
E01000433,Bexley 008F,713
E01000434,Bexley 008G,574
E01000435,Bexley 010E,585
E01000436,Bexley 011E,622
E01000437,Bexley 007A,502
E01000438,Bexley 007B,602
E01000439,Bexley 007C,516
E01000440,Bexley 007D,515
E01000441,Bexley 007E,700
E01000442,Bexley 006E,626
E01000443,Bexley 024B,517
E01000444,Bexley 023B,635
E01000445,Bexley 024C,673
E01000446,Bexley 024D,596
E01000447,Bexley 023C,881
E01000448,Bexley 023D,512
E01000449,Bexley 023E,643
E01000450,Bexley 009E,633
E01000451,Bexley 009F,622
E01000452,Bexley 009G,492
E01000453,Bexley 013B,514
E01000454,Bexley 013C,629
E01000455,Bexley 013D,620
E01000456,Bexley 013E,482
E01000457,Bexley 026D,996
E01000458,Bexley 027E,686
E01000459,Bexley 027F,883
E01000460,Bexley 022E,483
E01000461,Bexley 024E,570
E01000462,Bexley 026E,833
E01000463,Bexley 025E,454
E01000464,Bexley 002D,552
E01000465,Bexley 002E,729
E01000466,Bexley 001A,600
E01000467,Bexley 001B,593
E01000468,Bexley 001C,943
E01000469,Bexley 001D,639
E01000470,Bexley 002F,528
E01000471,Brent 026A,492
E01000472,Brent 029A,914
E01000473,Brent 029B,789
E01000474,Brent 026B,520
E01000475,Brent 029C,614
E01000476,Brent 026C,555
